data|label
Aaahh, see with age comes true understanding.|green
A beautiful day in central Virginia.|green
A belt clip is also included.|green
Abe makes some awesome stuff!|green
A big chunk of verbal communication is inflection which even the greatest writers have to be careful to get right.|green
A big thank you for those links.|green
About a week ago my iphone disconnected from the itunes while it was updating the software.|green
About two years ago I would have killed a young girl who blew through a yield sign while texting.|yellow
absolutely retarded.|yellow
Absolutely ZERO tolerance for drug references of any kind.|green
A buddy of mine is getting back into the hobby.|green
According to the description there is encryption built in and the app is free.|green
A comet and or dwarf star.|green
A couple minutes while my coffee brews, on the couch next to the kids while they watch tv, just bits and pieces all day.|green
A couple of slaps at the start.|yellow
Adorable little girlie!|green
Can't wait to see this beast all ready to go!|green
Can you guys please help me.|green
Do u care to elaborate as to what is funny?|green
Good to go!|green
AH HA HA HA HA HA HA HA HA die fukkah!|yellow
AHH HA HA HA HA HA, HO HO HO, HEE HEE HEE, whew!|green
Ahhh i see lol.|green
ah shit im sorry, my dumbass read it wrong ha ha people think that don't sound to bad till they get their ass on that machine.|green
A husband should only discipline a wife in places that are not visible to others so as to stop her feeling embarassed and humilated when others notice the marks that are the identification of a rebellious wife.|red
Ah, virgins, love to corrupt them!|red
Ah yes Algebra.|green
Ah yes, this old chestnut.|green
Ah yes, you're speaking of our heavenly country, brother.|green
Ah you're probably right.|green
A junkie whore with hep c can get all sorts of disability benefits, but the widow of someone who picked it up in the line of duty is denied.|yellow
A judge sentenced a Missouri woman to consecutive life prison terms for sexually assaulting her infant daughter along with a California man she met online.|green
Ak Hey noobs welcome to ProM.|green
A killerbee is a super pastel spider.|green
Alex is the most awesome cat ever.|green
All i can say is WHAT THE FUCK.|green
All I gotta say is fuck clen.|red
All I had to do was name a scent molecule and they chose mine!|green
All I had to do was unscrew the bar at end of bed and lay Bedskirt on screw holes.|green
and congrats again man.|green
and darling can I pleeeeeeeeeeese send you some Iris samples?|green
And even though I hate the battery life on my phone still, I like the phone.|green
And for fun, I killed the battery info too.|green
And for fun, here is our kitty!|green
And got them in two days You're awesome sir.|green
And he is going to SMOKE the SHIT out of YOU on Monday.|yellow
and he looked pretty good at the ny pro, it's just a much higher field of competition.|green
And herein lies the dilemma.|green
And here are photos of the snakes that I just took, as you can see, exact match Wow, that's really gorgeous!|green
and he's doing shit about it.|green
And he wrote back making fun of my name.|green
And how much she hates stop n shop because it's not wegmans!|green
And I apologize for disturbing you on twitter.|green
AND i have NEVER said lebron wasnt playing well, i have NEVER said lebron was not a great basketball player, i have NEVER said any of the things you are suggesting that i am saying.|green
Best of luck and chin up.|green
Best wishes and I hope you are married happily until death do you part.|green
Big improvement my brutha!|green
Bitter wannabe that never amounted to anything.|yellow
Bluetooth will chew up a battery.|green
Bob Are we making it a lunch gathering?|green
Both are great IMO Good morning!|green
Both very nice Hi guys, I've just bought an led kit for the lights behind the dash but can't find out how much of the dash I need to remove.|green
Brother's gone missing from his Special needs College and they have no idea where he is, my mum didn't tell me all day hoping they'd find him but they still haven't.|green
Bunch of inconsiderate pricks.|yellow
bunch of ass hats didnt read his post properly.|yellow
Buncha old timers around here!|green
But anywho to the point.|green
But do you have one with BOOBIES.|red
But do you have pictures of the tubes themselves?|green
But do you have a check engine light how.|green
But fuck them.|yellow
But they are also out of stock.|green
But they are going to wear FAST.|green
But they are Samsung panels?|green
Bwhahahahahahaha.|green
CABS ARE HEREEEEEEE!|green
Call me anytime bro.|green
Can this story really be true?|green
Can't seem to see a date by my account.|green
CAN'T WAIT!|green
Can you yell, NOW WILL YOU STFU SUCKAH in DH face tonight?|yellow
Can you tell me more about the DHEA or provide a link or something?|green
careful what you wish for.|green
Carry on ladies!|green
Cheers Very nice!|green
CHOCOLATE COVERED DEEP FRIED BACON!|green
Clearly you have a harsh view of disciplining your wife which I refuse to honour since it is against the understanding of the ulema.|green
Cmon seriously?|green
c'mon monday C'MON!|green
Color me jealous.|green
Color is bronze, very close to gunmetal when not under direct light.|green
Come on guys, where is the fucking sanity in all of this?|green
CONDITIONING WINS, NOT SIZE!|green
Congrats again and the babies look great!|green
Cowboys can force plenty of fumbles they just need to recover more.|green
Crazy where life takes you.|green
Damn you faggot.|red
damn you dirty south weather!|green
DAMN, what's that say about me.|green
Dancing penises up the asses of their Eurpoean neighbors and they won't budge to change things!|red
Decision to be made after I unload a sleepy cat from my lap.|green
deep down I love it.|green
Did Akhenaten influence Jewish culture, or was Jewish culture an influence on Akhenaten's MONOTHEISTIC concepts about God?|green
Didn't your mom ever tell you that it's not safe to talk to strangers, and especially spammers?|green
Did you find any solution to your problem?|green
Disgraceful, this guy is a fucking abortion Wow some people are just.|yellow
DISREGARD I DID MY HOMEWORK A long and complicated answer, maybe of meaning only to the OP, or perhaps not even to him.|green
Does any one use European style tackle?|green
Does facetime need to use wifi?|green
Does she swallow, or store it up in her cheeks like a chipmunk?|yellow
Does she really want every picture she takes to be streamed instantly to the iPad?|green
Does the text look tiny on your phone?|green
Don't do do it unless you know what you are doing.|green
Don't put a limit on yourself, your goals or your potential.|green
Don't read the fucking comments section of the article, that is unless you need motivation for work tonight.|green
Dudes a tool.|yellow
Dude that is sick!|green
Dumbass.|yellow
dumb question?|green
Dump your bitches and moans in here.|yellow
ehh havent checked.|green
Either i suck at using the search function.|green
Either it's true or not.|green
European commentator will only talk about the play of each ball.|green
feel soooo dumb!|green
f him.|yellow
Fuck Elway!|yellow
Fuck em.|yellow
fucken awesome man.|green
Fucking gem of a post if I've ever seen one.|green
Fucking weirdo.|yellow
GAME ON!|green
Generally its all good That was sort of what I was saying as well.|green
Get off your arses, get off the dole, stop smoking weed and go and get a farking job like everyone else and write your god damn books when you're not working because the reality is that you'll never make it big, you'll never make alot of money and you'll never be anything more than just another person walking down the street even if you do make it big because noone gives a fark about what an author looks like.|yellow
Get us the fuck out of there and let them kill each other off!|yellow
Get u some Brother's!|green
Get used to it young one.|green
Get well soon, my friend.|green
Glad its working for you!|green
God help us, fucking idiot.|yellow
God that woman annoys me.|yellow
God surely knows the heart, and He knows why we are voicing out our conclusions.|green
God that has made my day!|green
HaHaaHaaaHaaaaa!|green
Haha but that is a great moustache!|green
HAHA, farking hell.|green
hahahahaha good luck brother.|green
hahaha you look like a piece of shit you have no chance of winning a competition.|yellow
Haha I fucking live this thing.|green
Hands down best drug out there.|yellow
Hands down the best closer ever.|green
Hands down, he is my choice!|green
Happy days!|green
Hate fuck her and then tell her to take the bus from now on.|red
Hate hearing about kiddos in pain.|green
HATE IT I'd be happy if the stock went off more than twice.|green
Haters are everywhere and no matter what one will voice their unwanted opinion.|green
Hate to hear that UK, praying for a good diagnosis from the doctor.|green
Having a deaf family member myself, we wound up having a bunch of great conversations, the most relevant of which was that she loved playing these online games because in that world, she wasn't any different.|green
He does look retarded.|yellow
He does not pull his hand back before he starts to toss.|green
He does fantastic work, and quick too.|green
I definitely enjoy it.|green
I deleted a couple just to see if it works.|green
MOTHERFUKKAH!|yellow
Mother nature will not deal with a problem created by humans!|green
mother nature is very unforgiving!|green
Movement is a bit restrictive around some obstacles.|green
Mullets for EVERYONE!|green
My boss is a prick.|yellow
My boss tought me this in high school when I worked at a deli.|green
My guess is September and I see NOTHING to suggest anthing else.|green
needs a bullet in the head Haha I've always wondered what the Burger King drive through attendant is picturing when I roll up for my cheat meal and then I pull around I had tried insulin back in the day but only PWO.|red
Seriously, I'd shoot my mom for arms like yours!|yellow
Seriously, if you kill yourself using insulin then you probably aren't fit to live.|red
Seriously, so sorry about your dad, send him our best from the forum.|green
She deserves the electric chair or even worse!|red
She fugly though!|yellow
She is a nurse, i know her name, address, year of her birth, bank account.|yellow
